date,headline,desc
2022-10-03 16:01:00,Russian journalist who protested Ukraine war on air escapes house arrest,Marina Ovsyannikova made international headlines after protesting the war in Ukraine live on state television in March. 
2022-10-03 02:52:00,Ukraine live briefing: Lyman retreat buoys Ukrainian advance as Russian lawmakers approve annexations ,"Russian lawmakers ratified the so-called annexation of four Ukrainian regions after Russian troops fled Lyman, a key hub in Donetsk."
2022-10-02 02:00:00,"Ukraine live briefing: U.S., U.K. say Russia’s retreat from Lyman ‘significant,’ hurts its ability to resupply troops","Lyman, a city in Donetsk, has been ""fully cleared"" of Russian troops, Ukrainian President Volodymyr Zelensky said Sunday."
2022-09-30 23:14:00,Ukraine live briefing: Ukraine claims control of Lyman after Russians withdraw,"Ukrainian forces said they had surrounded Russian forces in the eastern city of Lyman, advancing in one of four regions annexed by Russia."
2022-09-30 15:56:00,Three maps that explain Russia’s annexations and losses in Ukraine,"Luhansk, Donetsk, Kherson and Zaporizhzhia are the areas Putin is illegally annexing, as Russian forces suffer setbacks around the eastern city of Lyman."
2022-09-30 12:24:00,Zelensky pushes ‘accelerated’ application for Ukraine NATO membership,"Ukraine is applying for “accelerated ascension” into NATO, in a symbolic move, President Volodymyr Zelensky said Friday."
2022-09-30 00:05:00,Russia-Ukraine war: U.S. imposes new sanctions over Russia’s illegal annexation,"Russian President Vladimir Putin announced the illegal annexation of the Donetsk, Luhansk, Kherson and Zaporizhzhia regions at a ceremony in Moscow. "
2022-09-29 11:18:00,Russians rebel as Putin drafts more people in battle for Ukraine,"From Dagestan to Moscow to Siberia, dissent has been documented in videos from across Russia since Putin's mobilization announcement on Sept. 21."
2022-09-29 02:38:00,Ukraine briefing: Putin to formalize annexation of Ukrainian territories after staged referendums ,"Russia’s Vladimir Putin will sign a treaty annexing parts of Ukraine on Friday, as separatist leaders arrive in Moscow and investigations into Nord Stream gas explosions continue."
2022-09-28 01:00:00,Ukraine live briefing: West condemns staged referendums; U.S. to send more long-range rocket systems ,The European Union vowed to investigate explosions of Nord Stream gas pipelines. The United States condemned staged referendums in Russian-controlled parts of Ukraine. 
2022-09-27 01:39:00,Ukraine live briefing: Final day of staged referendums; ‘sabotage’ investigation after Nord Stream explosions,"Tuesday marks the final day of referendums staged by Kremlin-aligned officials in Ukraine’s Donetsk, Luhansk, Zaporizhzhia and Kherson areas. "
2022-09-26 08:40:00,Roger Waters concerts canceled in Poland after he criticized Ukraine,"The Pink Floyd co-founder, in an open letter to Ukrainian first lady Olena Zelenska, blamed “extreme nationalists” within Ukraine — not Russia — for the war."
2022-09-26 04:26:00,Blinken: Conversation about supplying weapons to Ukraine ‘ongoing’,Ukraine on Sunday said it received a long-awaited air defense system known as NASAMS and is lobbying for longer-range missiles known as ATACMS.
2022-09-26 02:25:00,Ukraine live briefing: Gunman attacks Russian military center; Snowden granted Russian citizenship ,"The United States will send $457.5 million in additional civilian security aid to Ukraine, Secretary of State Antony Blinken announced Monday. "
2022-09-26 00:01:00,Analysis | The right-wing turn against Ukraine may be around the corner,"Even as Russia’s international standing takes further hits, Ukraine may have reason to worry about shifting winds in the West’s democracies."
2022-09-25 13:50:00,Russian mobilization prompts backlash as Ukraine annexation effort plows ahead,"New protests erupted Sunday over a mobilization effort so poorly handled that it has triggered widespread anger and controversy, even among top Russian officials and propagandists."
2022-09-25 02:00:00,"As Ukraine’s fathers fight, mothers go it alone with their children","Some women have thrown themselves into volunteering. Others are consumed by child care, financial worries and family expectations."
2022-09-25 01:05:00,"Ukraine live briefing: Russian troop mobilization targets ethnic minorities, Zelensky says","Ukraine's president says Kremlin-backed troops are targeting ethnic minorities. Russia vowed ""protection"" for Ukrainian areas annexed in its staged referendums."
2022-09-24 14:08:00,"With Kalashnikov rifles, Russia drives the staged vote in Ukraine","The speed at which the referendums were announced and carried out and the mobilization of hundreds of thousands of Russian reserves, all within one week, reflect the Kremlin’s tacit acknowledgment of its deteriorating position in Ukraine."
2022-09-24 02:00:00,"Long before his war in Ukraine, Putin waged war on Russian journalists",President Vladimir Putin has sought for more than two decades to control — or shut down — reporters and editors in the country.
2022-09-24 02:00:00,Ukraine live briefing: Hundreds arrested in Russia during anti-mobilization protests,"The Kremlin's staged referendums in Luhansk, Donetsk, Kherson and Zaporizhizhia continued on Saturday. "
2022-09-23 01:00:00,"Ukraine live briefing: Russia stages annexation referendums, announces exceptions to military call-up","The referendums for Luhansk, Donetsk, Kherson and Zaporizhzhia lay the groundwork for Russia to annex swaths of Ukraine."
2022-09-22 03:40:00,Ukraine live briefing: Russia vows to defend annexed territories ahead of staged referendums ,Two U.S. veterans and five Britons were among nearly 300 people released as part of a prisoner exchange between Moscow and Kyiv.
2022-09-21 13:32:00,What to know about Putin’s attempt to annex territory in Ukraine,"In an illegal and escalatory move, President Vladimir Putin signed decrees to annex four Ukrainian territories. Here’s what to know."
2022-09-21 10:11:00,What does Putin’s partial military mobilization mean for Russia and Ukraine?,"Russian President Vladimir Putin announced plans to call up 300,000 reservists as his invasion of Ukraine faces setbacks."
2022-09-20 10:31:00,Russia moves toward annexing Ukraine regions in a major escalation ,The Kremlin’s puppet authorities in occupied areas declared plans for staged referendums to approve joining Russia. 
2022-09-20 05:38:00,Far-right German party members to tour Russian-held regions of Ukraine,The visit by German regional lawmakers stands to reinforce Kremlin propaganda about Russia's hold over two separatist areas in occupied eastern Ukraine. 
2022-09-20 03:55:00,Ukraine live briefing: Putin to speak after Russia-backed officials in Ukraine regions call for referendums ,"“The United States will never recognize Russia’s claims to purportedly annexed territory,” White House national security adviser Jake Sullivan told reporters."
2022-09-20 00:01:00,Analysis | Ukraine looms over the U.N.’s annual gabfest,"The annual parade of world leaders to the dais of the U.N. General Assembly often feels quite pro forma. This year, though, there’s bound to be a more confrontational edge. "
2022-09-18 09:00:00,How the St. Javelin meme raised a million dollars for Ukraine,"The St. Javelin meme is inspired by the Virgin Mary, who despite being known for peace, can be found in centuries of war art."
2022-09-16 10:05:00,Modi rebukes Putin over war in Ukraine,"The Russian president told the Indian prime minister he will try to end the conflict “as soon as possible,” but he accused Ukraine of refusing to negotiate."
2022-09-16 09:45:00,"For Putin and Xi, Ukraine war creates wrinkle in ‘no limits’ friendship","Vladimir Putin is working to destroy the old international order. Xi Jinping is looking to build a new one, with China at its center. "
2022-09-16 03:00:00,Ukraine briefing: Izyum mass burial site under investigation; Biden to meet Griner’s wife,Ukrainian President Volodymyr Zelensky said a “mass burial site” was discovered after Russia's retreat from Izyum. 
2022-09-15 08:46:00,How the fighting in Ukraine could lead to a war crimes case against Iran,The families of those killed aboard a Ukrainian flight from Tehran formally asked the International Criminal Court to investigate the incident as a war crime.
2022-09-15 03:24:00,Ukraine live briefing: Mass burial site discovered in Izyum; E.U. chief in Kyiv,"Ursula von der Leyen is in Kyiv to discuss E.U. trade, while Chinese President Xi Jinping met with Russian President Vladimir Putin in Uzbekistan."
2022-09-15 00:01:00,"Analysis | As Ukraine advances, Putin backs further into a corner","“What we are seeing around Kharkiv is the psychological breaking point of certain Russian forces,” said Gen. H.R. McMaster, former White House national security adviser, at a roundtable hosted by the right-leaning think tank Hoover Institution, where Today’s WorldView was present."
2022-09-14 09:29:00,Zelensky visits liberated Izyum as Ukraine aims to keep Russia on the run,President Volodymyr Zelensky headed to the Kharkiv region as economic data showed how much international sanctions are taking a bite out of Russia's oil and gas revenue.
2022-09-14 03:30:00,Ukraine live briefing: Zelensky visits reclaimed Izyum; E.U. moves ahead with emergency measures on energy,"Ukrainian President Volodymyr Zelensky visited the recaptured town of Izyum in the Kharkiv region, and European Commission President Ursula von der Leyen vowed to tackle the energy crisis."
2022-09-13 16:45:00,Ukraine to Germany: Send armored vehicles to keep pressure on Russia,"After stunning success in ousting Russian troops from Kharkiv, Ukraine says it urgently needs armor for its southern offensive but Germany is refusing to send battle tanks"
2022-09-13 03:48:00,Ukraine live briefing: Russian retreat in northeast fuels cautious optimism for Kyiv and allies,"Photos of Ukrainian flags raised in Bohorodychne and Sviatohirsk were widely shared on social media, as Russia announced a decision to “regroup.”"
2022-09-12 17:09:00,These maps show Ukraine’s latest victories against Russia  ,"In less than a week, Ukraine’s military made startling gains against Russian forces in the Kharkiv region, potentially changing the tide of a war that has raged for more than half a year and changed the geopolitical fabric of Europe."
2022-09-12 14:57:00,Ukraine extends battlefield gains as Kremlin reels from setback,"After the stunning success of a Ukrainian counteroffensive, momentum in the war has shifted to Kyiv but Russia is showing no signs of giving up. "
2022-09-12 06:48:00,"Despite setbacks in Ukraine, Kremlin spokesman insists war will go on","Kremlin spokesman Dmitry Peskov said the aims of what Moscow still calls only a ""special military operation"" would be achieved despite Ukrainian advances."
2022-09-11 17:55:00,"Amid Ukraine’s startling gains, liberated villages describe Russian troops dropping rifles and fleeing ","Ukraine's blitz liberated Izyum and other occupied areas in Kharkiv region, but Russia still holds large swaths of territory and a major advantage in firepower"
2022-09-10 11:07:00,Russian troops in big retreat as Ukraine offensive advances in Kharkiv,Russia's Defense Ministry confirmed a major retreat from Izyum and other occupied areas of the Kharkiv region as a Ukrainian counteroffensive shifted momentum in the war
2022-09-08 03:40:00,Ukraine live briefing: U.S. to give $2.6B more in aid for Kyiv and neighbors; Zelensky cheers gains in Kharkiv,"Secretary of State Antony Blinken visits Kyiv. Hundreds of thousands of Ukrainians have been interrogated, detained or forcibly deported to Russia, U.S. officials say. "
2022-09-08 00:01:00,Analysis | The puzzling impact of the Ukraine war on ordinary Russians,"Moscow may look normal after six months of war, but the fissures run deeper."
2022-09-07 17:04:00,Ukraine military chief says ‘limited’ nuclear war cannot be ruled out,"In an article for Ukraine's state news agency, army chief Valeriy Zaluzhnyi acknowledged that his forces were behind strikes on Russian bases in Crimea last month."
2022-09-07 07:32:00,"Russians back war in Ukraine, but report finds notable opposition",The study by the Carnegie Endowment for International Peace also found many Russians prefer to tune out the war because they find it upsetting and feel they have no control over it. 
2022-09-07 04:09:00,Ukraine live briefing: Putin claims Russia has ‘lost nothing’ in Ukraine; Kyiv reports gains in the north,The International Atomic Energy Agency found extensive damage at the plant and warned of a “catastrophic” threat from shelling.
2022-09-06 16:15:00,IAEA warns of ‘catastrophic’ threat from shelling in Ukraine nuclear report,The U.N. nuclear watchdog issued its first report since international inspectors visited the Zaporizhzhia nuclear power plant in Ukraine last week. 
2022-09-06 09:32:00,"Russia buying weapons from North Korea for Ukraine war, U.S. intelligence says","Russia’s Defense Ministry is preparing to buy “millions of rockets and artillery shells” from North Korea as it runs low on weapons in Ukraine, U.S. intelligence says. "
2022-09-06 04:23:00,Ukraine live briefing: U.N. issues first report on Zaporizhzhia; small gains reported in Ukrainian offensive,The report by the International Atomic Energy Agency highlighted the prospect that radioactive material could be released from the Zaporizhizhia nuclear power plant.
2022-09-05 04:13:00,Ukraine live briefing: Kyiv claims areas ‘liberated’ in the south; Putin approves new foreign policy doctrine,Some experts from the International Atomic Energy Agency left the Zaporizhzhia nuclear power plant. 
2022-09-04 04:24:00,Ukraine live briefing: U.S. ambassador to Russia retiring; Germany announces $65 billion in aid for energy crisis,Ukrainian President Volodymyr Zelensky warned that “Russia is preparing for a decisive energy attack on all Europeans” this winter. 
2022-09-04 02:25:00,"Venezuela’s refugee crisis similar to Ukraine’s in scale, but not aid","The exodus from Venezuela has received little of the attention paid to refugee crises of similar scale in Syria and Ukraine, one refugee advocate said."
2022-09-03 03:51:00,Ukraine live briefing: Nuclear plant disconnected from main line; European leaders blast Nord Stream shutdown,European leaders accused Russia of weaponizing energy after Gazprom said it won't reopen the Nord Stream 1 gas pipeline as planned.
2022-09-02 10:46:00,Ukraine’s war amputees heal through horse therapy,"“My nervous system is calming down,” said a Ukrainian soldier who lost a leg to shrapnel. “I no longer have nightmares.”"
2022-09-02 04:00:00,Ukraine live briefing: Russia will not restart Nord Stream 1; IAEA to have ‘permanent’ presence at nuclear plant,"Five inspectors will remain at the Zaporizhzhia plant through Saturday, after IAEA chief Rafael Mariano Grossi led a tour to evaluate the safety of the Russian-held facility."
2022-09-02 00:01:00,Analysis | Ukraine steps up bid to reconquer lost territory ,"Ukrainian officials talk up the prospect of a decisive victory but stress that their priorities are more immediate and limited. “We are concentrated right now on survival,” the nation's development minister told Today's WorldView. "
2022-09-01 15:15:00,"In fiercely contested Kherson, Ukraine pushes to retake occupied lands","In Kherson region, residents report that the Ukrainian military is ramping up attacks on Russian occupiers, signaling a major offensive to retake seized territory. "
2022-09-01 14:23:00,"In Ukraine, first day of school is 190th day of Russian invasion","The start of the academic year in Ukraine, normally heavy on ceremony, is anything but normal as Russia's invasion and bombardments continue. "
2022-09-01 05:00:00,Earthquakes for Ukraine: Dutch gas drilling tests what countries will accept,"As Russia cuts gas flows, the U.S. and Germany have raised a fraught question: Could the Dutch keep drilling for Europe’s greater good?"
2022-09-01 03:56:00,Ukraine live briefing: IAEA mission inspects nuclear plant after delays,The expert mission led by International Atomic Energy Agency chief Rafael Mariano Grossi reached the Zaporizhzhia nuclear plant after delays.
2022-09-01 00:01:00,"Analysis | With NAFO, Ukraine turns the trolls on Russia",Ukraine's embrace of sardonic messengers gives Russia a taste of its own medicine.
2022-08-31 03:44:00,Ukraine live briefing: IAEA in city of Zaporizhzhia; Ukraine pushes Russian forces in south,"European Union countries reached a political agreement to suspend a visa facilitation agreement with Russia, making it more difficult and expensive for Russian tourists to get visas."
2022-08-30 04:28:00,Ukraine live briefing: Kherson attacks underway; Russia to hold military drills with China and others,"More strikes were reported overnight near the Zaporizhzhia nuclear plant, where IAEA inspectors are due to arrive later this week to assess the damage."
2022-08-30 02:00:00,Ukraine lures Russian missiles with decoys of U.S. rocket system,"Ukraine’s military has fooled Russia into firing expensive missiles at decoy HIMARs, the long-range artillery systems supplied by the United States."
2022-08-29 09:10:00,Ukraine mounts attacks in Kherson; U.N. inspectors head to nuclear plant,"Ukraine and Russia blamed each other for strikes in Enerhodar, near Europe’s biggest nuclear power plant, sparking fears of a Chernobyl-like disaster."
2022-08-29 04:07:00,Ukraine live briefing: Ukrainian forces attack near Kherson; U.N. inspectors to arrive in Kyiv ,"Ukrainian officials say shelling hit Enerhodar, where the facility is located, days ahead of an expected IAEA visit. "
2022-08-28 03:24:00,Ukraine live briefing: Russia targets Zaporizhzhia area; U.S. decries Moscow’s ‘cynical obstructionism’,"Russia’s military expansion will have little impact on war, Britain’s Defense Ministry said."
2022-08-28 01:00:00,"Crossing Ukraine’s armored curtain to deliver people, and toilet paper ","The line separating territory controlled by Ukraine and Russian forces is an invisible boundary that residents cross to visit friends and family, shop and deal with other needs."
2022-08-27 18:04:00,"Ukraine, Russia exchange blame for more shelling at nuclear plant ",Fresh shelling underscored the persistent danger of fighting around the Zaporizhzhia nuclear power plant as the United Nations’ atomic watchdog prepares to visit the site next week.
2022-08-27 04:45:00,Ukraine live briefing: Fresh shelling at Zaporizhzhia nuclear plant ahead of U.N. inspection,"Shelling at the plant may result in hydrogen leakage, sputtering of radioactive substances and fires, Ukraine’s nuclear power agency warned in a statement Saturday. "
2022-08-26 17:03:00,Restored power at Ukraine nuclear plant paves way for U.N. visit ,The fight for control of Europe's largest nuclear plant is a proxy for the larger war as Ukraine seeks to oust occupying Russian forces and Moscow aims to annex the area.  
2022-08-26 03:57:00,Ukraine live briefing: Power restored to Zaporizhzhia plant; authorities distribute iodine ,"Electricity has been restored to the Zaporizhzhia nuclear power plant, narrowly averting a “radiation accident,” says Ukrainian President Volodymyr Zelensky."
2022-08-25 13:01:00,Ukraine’s largest nuclear plant is cut off energy grid,"The result was a mass power outage in the adjacent area after fires damaged the plant's last functioning transmission line, Ukraine’s nuclear power company said Thursday."
2022-08-25 04:03:00,"Ukraine live briefing: Backup generators prevented ‘radiation accident’ at Zaporizhzhia plant, Zelensky says","A decree signed by the Russian president calls for the armed forces to increase its ranks by 137,000, effective Jan. 1. "
2022-08-25 00:01:00,Analysis | Threat of nuclear catastrophe in Ukraine adds to global energy chaos,"Russia has been accused of using the Zaporizhzhia plant, which is still functioning and producing power, as a staging ground for war."
2022-08-24 18:24:00,Russian missile hits passenger train as Ukraine marks Independence Day,Quiet defiance and muted celebrations reflected Russia’s continuing military aggression
2022-08-24 15:30:00,Ukraine is a war zone. And a place Boris Johnson can get away from it all.,The unannounced visit to Kyiv by the British prime minister shocked but did not surprise.
2022-08-24 03:22:00,Russian invasion reaches 6 months on Ukraine’s Independence Day,"Ukrainians had been bracing for stepped up strikes this week, and officials say the death toll from the train station strike could increase."
2022-08-24 01:00:00,"On Independence Day, Ukraine celebrates statehood Putin failed to destroy ","Under attack by Russian invaders and fearing new missile strikes, Ukraine celebrated 31 years of independent statehood that Vladimir Putin said never existed."
2022-08-23 18:10:00,Ukraine nuclear plant worker killed by Russian mortar as tensions rise ,"The second killing of an employee at the Zaporizhzhia Nuclear Power Plant comes as the U.N. Security Council meets to discuss the perilous situation

"
2022-08-23 09:00:00,"A train ride back to Ukraine: Fear, tears and a romance",On board a train heading to the Polish border are Ukrainians who have been wrestling with the agonizing decision of whether to return home six months into the war.
2022-08-23 06:46:00,Russians at Daria Dugina memorial push for tougher action against Ukraine,"Daria Dugina, daughter of far-right ideologue Alexander Dugin, died Saturday in a car bombing in central Moscow."
2022-08-23 04:11:00,Ukraine live briefing: U.S. warns of more Russian strikes ahead of Independence Day,"The Pentagon prepares to send more weapons to Ukraine, and hundreds of Russians attend a memorial for propagandist Daria Dugina, who was killed in a car bombing."
2022-08-22 08:05:00,Russia blames Ukraine for car blast that killed Putin ally’s daughter,"The killing of Daria Dugina, daughter of ideologue Alexander Dugin who helped shape the Kremlin’s narrative on Ukraine, has emerged as a flash point in the war."
2022-08-22 02:52:00,Ukraine live briefing: Putin ally Alexander Dugin calls for ‘more than just revenge’ after daughter’s killing,"Russia claimed that “Ukrainian special services” were behind the car bombing that killed the daughter of Alexander Dugin, an ally of Russian President Vladimir Putin."
2022-08-22 00:01:00,"Analysis | Six months after Russia invaded Ukraine, the world is on a knife edge",Russian President Vladimir Putin’s campaign to topple Ukraine's government hasn’t gone as planners in the Kremlin thought it would. 
2022-08-21 03:00:00,Ukraine live briefing: Kyiv denies killing Putin ally’s daughter; Russia opens murder investigation,"Daria Dugina, the daughter of key Putin adviser Alexander Dugin, was killed in an explosion in the Moscow region. "
2022-08-20 13:04:00,What to know about Ukraine’s Zaporizhzhia nuclear power plant,Fighting around the power plant in southeastern Ukraine has raised fears of a nuclear catastrophe. Here’s what to know about the Zaporizhzhia facility.
2022-08-20 03:56:00,Ukraine live briefing: Drone attacks reported in Crimea; Putin supports nuclear plant inspection,"Russia is beefing up security in Crimea amid reports of drone attacks, while both Moscow and Kyiv have voiced support for IAEA inspectors to visit Zaporizhzhia."
2022-08-19 15:40:00,"Across the river from Ukraine nuclear plant, shelling adds to fear  ",Most neighbors of threatened plant have already left; those still there live with daily bombardments from Russian forces
2022-08-19 08:17:00,Warnings of attack on Ukraine nuclear plant set the world on edge,"Both Russia and Ukraine have warned of a possible “false flag” attack on the nuclear plant, which is held by Russian forces."
2022-08-19 06:00:00,"Neither snow, nor sleet, nor war: Ukraine mail carriers carry on ",
2022-08-19 04:29:00,Ukraine live briefing: Warnings of imminent attack on Zaporizhzhia nuclear plant; U.S. sends more aid,"Both Russia and Ukraine are warning of a possible attack on the Zaporizhzhia nuclear power plant, currently under Russian control, in southeastern Ukraine. "
2022-08-18 08:07:00,Why Crimea is so important in the Russia-Ukraine war,The Black Sea peninsula has returned to the spotlight with Russia's invasion of Ukraine and recent blasts at an ammunition depot and air base there.
2022-08-18 03:28:00,Ukraine live briefing: U.N. says attack on nuclear plant would be ‘suicide’; blasts reported behind Russian lines ,U.N. Secretary General António Guterres met with the leaders of Ukraine and Turkey in Lviv. Blasts in Crimea have drawn attention to Kyiv's special forces. 
2022-08-18 02:00:00,"In Ukraine, a Russian mercenary group steps out of the shadows",The notorious Wagner Group is recruiting. Murderers are welcome.
2022-08-17 16:37:00,"Crimea attacks point to Ukraine’s newest strategy, official says",Ukraine's defense chief says Kyiv is counting on special forces to hit key Russian installations until enough Western weapons arrive for a full-scale counteroffensive.
2022-08-17 03:54:00,Ukraine live briefing: U.N. chief arrives in Ukraine to review month-old grain export deal,Satellite images show the first grain ship from Ukraine in Syria. Ukrainian forces strike Russia in Crimea for the second time in a week.
2022-08-16 10:05:00,Russia blames ‘sabotage’ as Ukraine special forces strike again in Crimea,The depot near Dzhankoi exploded a week after a Russian air base in Crimea was rocked by a powerful attack apparently carried out by Ukrainian special forces.
2022-08-16 03:46:00,Ukraine Live Briefing: Ukraine strikes Crimea targets twice in a week ,An ammunition depot was on fire near Dzhankoi. Three foreign nationals could face the death penalty in eastern Ukraine. 
2022-08-15 15:15:00,"Inside Ukraine’s captured nuclear plant, explosions and constant fear ",Workers from the Zaporizhzhia plant describe disappearances at the hands of Russian soldiers and fear of nuclear catastrophe.
2022-08-15 02:59:00,"Ukraine Live Briefing: U.N. warns of danger at nuclear plant, rejects Russian claims ","The latest round of shelling near the Zaporizhzhia nuclear plant killed one employee and injured two others, Ukraine’s nuclear power regulator said."
2022-08-14 02:36:00,Ukraine Live Briefing: Shelling near nuclear plant kills worker as world leaders call on Russia to retreat,"Ukrainian President Volodymyr Zelensky accused Russian forces of using the nuclear plant as a shield in a “blackmail operation."""
2022-08-14 02:00:00,"War? Ordinary life? In Ukraine, it depends on where you call home.","Some parts of the country are suffering the daily brutality of war, while in other places, life feels relatively peaceful."
2022-08-13 04:06:00,Ukraine Live Briefing: Shelling near Zaporizhzhia plant; Ukraine strikes last key bridge,Ukrainian President Volodymyr Zelensky wants Europe to halt visas for Russians. Fighting near the Zaporizhzhia nuclear power plant raises alarm.
2022-08-12 04:00:00,"Ukraine Live Briefing: U.S. doesn’t know what hit Crimea base, official says",The U.N. chief called for military forces to leave the Zaporizhzhia nuclear plant site. The Brave Commander ship is carrying Ukrainian grain to the Horn of Africa.
2022-08-11 04:08:00,Ukraine Live Briefing: U.N. chief calls for cease-fire at nuclear plant as ‘catastrophic consequences’ loom,Satellite images appear to show damaged planes at the Saki Air Base in Crimea. The U.N. Security Council could meet over the Zaporizhzhia nuclear plant.
2022-08-10 04:29:00,Ukraine Live Briefing: Russia ‘cannot feel safe in Crimea’ after air base blasts,"A Ukrainian attack in Crimea would be a dramatic escalation in the war, demonstrating an ability by Ukrainian forces to strike at Russia far from the front lines. "
2022-08-10 02:00:00,"In the Ukraine war, a battle for the nation’s mineral and energy wealth",Russia’s occupation of eastern Ukraine has given it control over some of the most mineral-rich lands in Europe. 
2022-08-09 19:35:00,"Deadly Crimea blasts are ‘just the beginning,’ Ukraine warns Russia","Ukraine officials stopped short of claiming credit for the attacks on a base in Russian-controlled territory, which would mark a dramatic escalation in the war."
2022-08-09 11:05:00,Kremlin sharply critical of Ukraine’s call for travel ban on Russians ,Ukrainian President Volodymyr Zelensky called on other countries to ban all Russian travelers to help stop Moscow from annexing any more Ukrainian territory.
2022-08-09 03:42:00,Ukraine Live Briefing: Explosions rock Russian air base in Crimea,"Ukrainian President Volodymyr Zelensky accused Russia of ""nuclear blackmail"" following attacks on Europe's largest nuclear power plant."
2022-08-08 15:30:00,"Russia, Ukraine open to IAEA visit after ‘suicidal’ nuclear plant strike","In the wake of purported strikes targeting Zaporizhzhia, world leaders and experts are calling Russian and Ukrainian forces to declare a military-free zone."
2022-08-08 03:40:00,Ukraine Live Briefing: U.S. to send $1 billion in weapons to Ukraine; U.N. demands access to targeted nuclear plant,Ukrainian President Volodymyr Zelensky slammed Russia's reported plans to hold referendums and warned that strikes on the Zaporizhzhia nuclear plant pose enormous risks.
2022-08-07 04:41:00,Amnesty International’s Ukraine chief resigns after report criticizes Kyiv,Oksana Pokalchuk's resignation comes after Amnesty International released a report accusing Ukraine of endangering civilians.
2022-08-07 03:58:00,"Ukraine Live Briefing: Radiation levels remain normal after shelling at nuclear plant, official says",Ukrainian President Volodymyr Zelensky demanded a forceful reaction from international organizations after the attack at Europe’s largest nuclear power plant. 
2022-08-06 03:50:00,Ukraine Live Briefing: Russia and Ukraine accuse each other of shelling Zaporizhzhia nuclear plant,"Russia and Ukraine are accusing one another of shelling the Zaporizhzhia nuclear power plant, as fighting continues in the south on Saturday. "
2022-08-05 03:34:00,Ukraine Live Briefing: Three grain ships set sail; Moscow mulls Griner swap,Three ships are exporting grain from Ukraine’s Black Sea ports. President Biden described Brittney Griner’s sentencing as “unacceptable.”
2022-08-05 03:00:00,"It’s an artillery war, but Ukraine still kills tanks with Javelins ","The U.S.-made antitank missiles have shorter range than most artillery, but Ukrainian soldiers are using them effectively in close combat along the front lines."
2022-08-04 04:11:00,Zelensky floats civil unions amid gay marriage push in Ukraine,The president noted that the constitution cannot be changed during wartime.
2022-08-04 03:26:00,Ukraine Live Briefing: U.S. officials condemn ‘reprehensible’ sentence in Griner’s ‘sham trial’ ,The U.N. will investigate a prison blast that killed Ukrainian prisoners of war. Ukrainian President Volodymyr Zelensky wants to “talk directly” with Chinese leader Xi Jinping.
2022-08-03 03:39:00,"Ukraine Live Briefing: Russia is using nuclear plant as ‘shield,’ situation ‘out of control,’ officials say","The first grain ship to leave Odessa is headed to Lebanon with more than 26,000 metric tons of corn after a three-hour inspection Wednesday in Turkish waters."
2022-08-03 02:01:00,Former Ukraine prison detainees doubt Russia’s deadly blast story,Aid workers released from Olenivka in mid-July say prisoners there had not been held in the building where more than 125 soldiers were killed or injured last Friday.
2022-08-02 03:41:00,"Ukraine Live Briefing: At least 140,000 residential buildings destroyed, 3.5 million Ukrainians homeless, Kyiv says","Authorities are bracing for more devastation, and this week they began coordinating mandatory civilian evacuations from the eastern region of Donetsk."
2022-08-01 19:24:00,What do Ukraine’s new wheat exports mean for prices and global hunger?,North Africa and the Middle East will soon receive needed grain from Ukraine.
2022-08-01 12:00:00,Analysis | Why Russia’s War in Ukraine Means a Hungrier World,"The surge in food prices that followed the outbreak of war in Ukraine underlined the country’s pivotal role in feeding the planet. By disrupting exports of Ukrainian wheat, corn, barley and oilseeds, Russia’s invasion has stoked fears of a hunger crisis in poorer nations and contributed to a surge in inflation in the developed world. Ukraine made its first shipment of grain since Russia’s invasion after an agreement was reached in July to unblock Ukraine’s Black Sea ports, but challenges remain"
2022-08-01 03:35:00,Ukraine Live Briefing: First grain shipment leaves Ukraine as Zelensky urges security for future food exports,The Red Cross says access to Olenivka prison where Ukrainian POWs were killed has not been granted.  
2022-08-01 00:01:00,Analysis | Russia’s war in Ukraine finds echoes in the Balkans,"Russian President Vladimir Putin tried to justify his war by pointing to the legacy of the NATO intervention in the former Yugoslavia in 1999, but Kosovo President Vjosa Osmani sees a different parallel."
2022-07-31 03:47:00,Ukraine Live Briefing: ‘Brutal shellings’ rock port city and kill one of Ukraine’s richest businessmen,Russia says it has invited the U.N. and Red Cross to investigate the deaths of Ukrainian prisoners of war at a detention center in Olenivka.
2022-07-30 04:20:00,Ukraine Live Briefing: Russia accused of ‘deliberate mass murder’; Donetsk ordered to evacuate,Ukrainian President Volodymyr Zelensky has accused Russia of the “mass murder” of Ukrainian prisoners of war in an occupied area of the eastern Donetsk region.
2022-07-30 04:00:00,A care center for Ukraine’s disabled deals with the trauma of occupation,Staff and patients are trying to rebuild after Russian forces besieged the facility this year.
2022-07-29 10:34:00,Ukraine and Russia trade blame for attack killing Mariupol prisoners,"Ukraine and Russia accused each other of attacking a prison in the eastern Donetsk region, killing dozens of Ukrainian prisoners of war captured by Russian forces in Mariupol."
2022-07-29 04:02:00,Ukraine Live Briefing: Blinken calls on Lavrov to accept ‘significant proposal’ to bring home Whelan and Griner,"The first grain shipments from Ukraine’s blockaded ports could begin as early as Friday after a landmark deal between Kyiv and Moscow, the U.N. aid chief said."
2022-07-28 11:37:00,Ukraine could be turning the tide of war again as Russian advances stall,Western officials and analysts suspect that Russia's depleted forces are close to exhausting their capacity to make further territorial gains in Ukraine.
